timestamp,event_type,x,y,button,dx,dy,key,start_x,start_y,end_x,end_y
0.000,mouse_move,512,384,,,,,,,,
0.082,mouse_move,518,380,,,,,,,,
0.164,mouse_move,527,374,,,,,,,,
0.248,mouse_move,539,365,,,,,,,,
0.331,mouse_move,554,354,,,,,,,,
0.412,mouse_move,571,342,,,,,,,,
0.493,mouse_move,589,330,,,,,,,,
0.573,mouse_move,608,318,,,,,,,,
0.654,mouse_move,628,308,,,,,,,,
0.735,mouse_move,649,300,,,,,,,,
0.817,mouse_move,669,295,,,,,,,,
0.899,mouse_move,688,292,,,,,,,,
0.981,mouse_move,704,291,,,,,,,,
1.063,mouse_move,717,291,,,,,,,,
1.145,mouse_move,726,292,,,,,,,,
1.228,mouse_move,732,294,,,,,,,,
1.312,mouse_move,735,296,,,,,,,,
1.395,mouse_move,736,298,,,,,,,,
1.478,mouse_down,736,298,Button.left,,,,,,,
1.561,mouse_up,736,298,Button.left,,,,,,,
1.643,mouse_move,736,299,,,,,,,,
1.724,mouse_move,734,302,,,,,,,,
1.803,mouse_move,731,307,,,,,,,,
1.882,mouse_move,727,314,,,,,,,,
1.961,mouse_move,722,322,,,,,,,,
2.041,mouse_move,716,330,,,,,,,,
2.121,mouse_move,709,339,,,,,,,,
2.201,mouse_move,701,348,,,,,,,,
2.281,mouse_move,692,357,,,,,,,,
2.361,mouse_move,683,365,,,,,,,,
2.441,mouse_move,674,372,,,,,,,,
2.521,mouse_move,665,378,,,,,,,,
2.601,mouse_move,657,383,,,,,,,,
2.681,mouse_move,650,386,,,,,,,,
2.762,mouse_move,644,388,,,,,,,,
2.842,mouse_move,639,389,,,,,,,,
2.922,mouse_move,636,389,,,,,,,,
3.003,mouse_move,634,388,,,,,,,,
3.083,mouse_down,634,388,Button.left,,,,,,,
3.165,mouse_up,634,388,Button.left,,,,,,,
3.247,key_press,,,,,,h,,,,
3.412,key_press,,,,,,e,,,,
3.578,key_press,,,,,,l,,,,
3.744,key_press,,,,,,l,,,,
3.910,key_press,,,,,,o,,,,
4.077,key_press,,,,,, ,,,,
4.243,key_press,,,,,,w,,,,
4.410,key_press,,,,,,o,,,,
4.577,key_press,,,,,,r,,,,
4.743,key_press,,,,,,l,,,,
4.910,key_press,,,,,,d,,,,
5.078,key_press,,,,,,Key.enter,,,,
5.244,mouse_move,634,390,,,,,,,,
5.412,mouse_move,638,395,,,,,,,,
5.581,mouse_move,645,403,,,,,,,,
5.749,mouse_move,655,413,,,,,,,,
5.917,mouse_move,667,424,,,,,,,,
6.085,mouse_move,681,436,,,,,,,,
6.253,mouse_move,696,448,,,,,,,,
6.422,mouse_move,712,461,,,,,,,,
6.590,mouse_move,729,473,,,,,,,,
6.759,mouse_move,747,485,,,,,,,,
6.927,mouse_move,765,496,,,,,,,,
7.095,mouse_move,783,506,,,,,,,,
7.264,mouse_move,800,514,,,,,,,,
7.432,mouse_move,816,521,,,,,,,,
7.601,mouse_move,831,526,,,,,,,,
7.769,mouse_move,844,530,,,,,,,,
7.938,mouse_move,855,532,,,,,,,,
8.106,mouse_move,863,533,,,,,,,,
8.275,mouse_move,869,532,,,,,,,,
8.443,mouse_move,872,531,,,,,,,,
8.612,mouse_down,872,531,Button.left,,,,,,,
8.780,mouse_up,872,531,Button.left,,,,,,,
8.940,scroll,872,531,,0,-3,,,,,
9.100,scroll,872,531,,0,-3,,,,,
9.260,scroll,872,531,,0,-5,,,,,
9.420,scroll,872,531,,0,-5,,,,,
9.580,scroll,872,531,,0,-3,,,,,
9.740,scroll,872,531,,0,-2,,,,,
9.900,mouse_move,870,530,,,,,,,,
10.060,mouse_move,866,527,,,,,,,,
10.220,mouse_move,860,523,,,,,,,,
10.380,mouse_move,852,517,,,,,,,,
10.540,mouse_move,843,510,,,,,,,,
10.700,mouse_move,832,502,,,,,,,,
10.861,mouse_move,820,493,,,,,,,,
11.021,mouse_move,807,484,,,,,,,,
11.181,mouse_move,793,474,,,,,,,,
11.341,mouse_move,779,464,,,,,,,,
11.501,mouse_move,764,455,,,,,,,,
11.661,mouse_move,749,447,,,,,,,,
11.821,mouse_move,735,440,,,,,,,,
11.981,mouse_move,721,434,,,,,,,,
12.141,mouse_move,708,430,,,,,,,,
12.301,mouse_move,697,428,,,,,,,,
12.461,mouse_move,687,427,,,,,,,,
12.621,mouse_move,679,428,,,,,,,,
12.782,mouse_move,674,430,,,,,,,,
12.942,mouse_move,670,432,,,,,,,,
13.102,mouse_move,668,435,,,,,,,,
13.262,mouse_move,667,437,,,,,,,,
13.422,mouse_move,667,438,,,,,,,,
13.582,mouse_down,667,438,Button.left,,,,,,,
13.742,mouse_up,667,438,Button.left,,,,,,,
14.910,mouse_down,667,439,Button.left,,,,,,,
15.073,mouse_up,667,439,Button.left,,,,,,,
16.241,mouse_down,667,438,Button.left,,,,,,,
16.404,mouse_up,667,438,Button.left,,,,,,,
16.564,mouse_move,668,440,,,,,,,,
16.724,mouse_move,670,444,,,,,,,,
16.884,mouse_move,674,449,,,,,,,,
17.044,mouse_move,679,455,,,,,,,,
17.204,mouse_move,686,462,,,,,,,,
17.364,mouse_move,694,470,,,,,,,,
17.524,mouse_move,703,478,,,,,,,,
17.684,mouse_move,713,486,,,,,,,,
17.844,mouse_move,724,494,,,,,,,,
18.004,mouse_move,736,501,,,,,,,,
18.164,mouse_move,748,507,,,,,,,,
18.324,mouse_move,760,512,,,,,,,,
18.484,mouse_move,771,515,,,,,,,,
18.644,mouse_move,781,517,,,,,,,,
18.804,mouse_move,789,518,,,,,,,,
18.964,mouse_move,795,517,,,,,,,,
19.124,mouse_move,799,516,,,,,,,,
19.284,mouse_move,801,514,,,,,,,,
19.444,mouse_move,801,512,,,,,,,,
19.604,mouse_down,801,512,Button.left,,,,,,,
19.681,mouse_up,801,512,Button.left,,,,,,,
19.758,mouse_down,801,512,Button.left,,,,,,,
19.835,mouse_up,801,512,Button.left,,,,,,,
19.912,mouse_down,801,512,Button.left,,,,,,,
19.989,mouse_up,801,512,Button.left,,,,,,,
20.066,mouse_move,801,513,,,,,,,,
20.146,mouse_move,800,516,,,,,,,,
20.226,mouse_move,798,520,,,,,,,,
20.406,mouse_move,793,527,,,,,,,,
20.586,mouse_move,786,534,,,,,,,,
20.766,mouse_move,778,542,,,,,,,,
20.946,mouse_move,769,549,,,,,,,,
21.126,mouse_move,758,556,,,,,,,,
21.306,mouse_move,747,561,,,,,,,,
21.486,mouse_move,736,565,,,,,,,,
21.666,mouse_move,724,567,,,,,,,,
21.846,mouse_move,713,568,,,,,,,,
22.026,mouse_move,702,568,,,,,,,,
22.206,mouse_move,692,566,,,,,,,,
22.386,mouse_move,684,563,,,,,,,,
22.566,mouse_move,677,559,,,,,,,,
22.746,mouse_move,671,555,,,,,,,,
22.926,mouse_move,667,551,,,,,,,,
23.106,mouse_move,664,546,,,,,,,,
23.286,mouse_move,662,542,,,,,,,,
23.466,mouse_move,661,539,,,,,,,,
23.646,mouse_move,660,536,,,,,,,,
23.826,mouse_move,660,535,,,,,,,,
24.006,mouse_down,660,535,Button.left,,,,,,,
24.089,mouse_up,660,535,Button.left,,,,,,,
24.172,key_press,,,,,,Key.backspace,,,,
24.338,key_press,,,,,,Key.backspace,,,,
24.505,key_press,,,,,,Key.backspace,,,,
24.671,key_press,,,,,,Key.backspace,,,,
24.838,key_press,,,,,,Key.backspace,,,,
25.005,key_press,,,,,,t,,,,
25.171,key_press,,,,,,h,,,,
25.338,key_press,,,,,,e,,,,
25.505,key_press,,,,,,r,,,,
25.671,key_press,,,,,,e,,,,
25.838,key_press,,,,,,Key.enter,,,,
26.005,scroll,660,535,,0,3,,,,,
26.165,scroll,660,535,,0,3,,,,,
26.325,scroll,660,535,,0,5,,,,,
26.485,scroll,660,535,,0,3,,,,,
26.645,mouse_move,661,534,,,,,,,,
26.805,mouse_move,663,531,,,,,,,,
26.965,mouse_move,667,527,,,,,,,,
27.125,mouse_move,672,521,,,,,,,,
27.285,mouse_move,679,515,,,,,,,,
27.445,mouse_move,686,509,,,,,,,,
27.606,mouse_move,695,503,,,,,,,,
27.766,mouse_move,704,498,,,,,,,,
27.926,mouse_move,713,494,,,,,,,,
28.086,mouse_move,722,491,,,,,,,,
28.246,mouse_move,730,489,,,,,,,,
28.406,mouse_move,737,488,,,,,,,,
28.566,mouse_move,742,489,,,,,,,,
28.726,mouse_move,745,490,,,,,,,,
28.886,mouse_move,746,492,,,,,,,,
